HumanGeneName	MouseGeneName
SPTBN5	Sptbn5
ZNF365	Zfp365
WDR53	Wdr53
TDG	Tdg-ps2
TRARG1	Trarg1
PDGFB	Pdgfb
GPR171	Gpr171
GLYATL3	Glyatl3
GLYAT	Keg1
	Gm4952
MTA1	Mta1
ADCK2	Adck2
GDNF	Gdnf
STAR	Star
FZD2	Fzd2
HOXA11	Hoxa11
HOXC11	Hoxc11
SOX17	Sox17
MDK	Mdk
MEN1	Men1
ROBO3	Robo3
HSPE1	Hspe1
GPR173	Gpr173
ESRRA	Esrra
FGF8	Fgf8
SMAD5	Smad5
PPARG	Pparg
OR2AT4	Olfr521
HOXD10	Hoxd10
VIPR2	Vipr2
LCP1	Lcp1
TLE3	Tle3
PRPH	Prph
AXIN2	Axin2
BAMBI	Bambi
CLIC3	Clic3
ZEB1	Zeb1
CLDN12	Cldn12
COX1	mt-Co1
CYP19A1	Cyp19a1
HNF1B	Hnf1b
TH	Th
HOXB4	Hoxb4
FOXC1	Foxc1
FOXC2	Foxc2
NKX2-2	Nkx2-2
IGFBP2	Igfbp2
NTN1	Ntn1
NOTO	Noto
MIXL1	Mixl1
LSM2	Lsm2
UBE2I	Ube2i
OTX1	Otx1
CKM	Ckm
WNT11	Wnt11
LEFTY1	Lefty2
STK19	Stk19
GATA2	Gata2
HOXB6	Hoxb6
OR3A1	Olfr402
OR7G3	Olfr834
OR4C16	Olfr1209
OR4A16	Olfr1254
OR4N2	Olfr732
OR1F12P	Olfr1366
OR4C45	Olfr1261
OR4A15	Olfr1234
OR6N2	Olfr430
OR7G2	Olfr846
OR4K5	Olfr729
OR6K3	Olfr424
OR7G1	Olfr854
OR4X2	Olfr1274
OR1L8	Olfr355
OR7A10	Olfr8
OR1J1	Olfr3
OR12D1	Olfr102
OR1A1	Olfr403
OR8S1	Olfr283
OR12D3	Olfr109
OR6C75	Olfr790
OR7D4	Olfr77
OR4C5	Olfr1260
OR10K1	Olfr370
OR7E24	Olfr866
OR4D5	Olfr984
OR4F15	Olfr1309
OR4F13P	Olfr1305
OR4A47	Olfr1256
OR4F21	Olfr1303
OR7C1	Olfr1356
OR4K15	Olfr727
OR4D11	Olfr1423
SLC40A1	Slc40a1
GATA3	Gata3
ETV4	Etv4
HMX3	Hmx3
PRSS3	Gm5771
PRSS1	Try10
PRSS2	Try5
RACK1	Rack1
FTHL17	Fthl17f
FTMT	Ftmt
FTH1	Fth1
SLC6A3	Slc6a3
HES1	Hes1
CD74	Cd74
TCP1	Tcp1
SMAD3	Smad3
EGR2	Egr2
MYO7A	Myo7a
APAF1	Apaf1
BMP4	Bmp4
LRRK2	Lrrk2
OTX2	Otx2
ETV6	Etv6
CLDN6	Cldn6
CLDN9	Cldn9
CLDN17	Cldn17
JAG2	Jag2
IKZF1	Ikzf1
CEBPD	Cebpd
GRIA2	Gria2
SLIT2	Slit2
MKRN2	Mkrn2
SPNS1	Spns1
TNNT2	Tnnt2
PHC2	Phc2
KRT4	Krt4
KRT79	Krt79
KRT6A	Krt6b
KRT2	Krt2
KRT1	Krt1
KRT75	Krt75
KRT7	Krt7
KRT90P	Krt90
KRT8	Krt8
RBP2	Rbp2
IL17RD	Il17rd
GLRA3	Glra3
GLRA4	Glra4
SEC61A1	Sec61a1
LMNB1	Lmnb1
LMNA	Lmna
NACA	Naca
SRRT	Srrt
ATP6V1E2	Atp6v1e2
ATP6V1E1	Atp6v1e1
CCT3	Cct3
CCT7	Cct7
DDX19B	Ddx19b
DDX19A	Ddx19a
HDAC1	Hdac1
MCM3	Mcm3
RPL24	Rpl24
RPS5	Rps5
SF3B4	Sf3b4
STIL	Stil
AURKC	Aurkc-ps
AURKB	Aurkb
TERF2	Terf2
U2AF1	U2af1
VPS18	Vps18
CSNK1A1	Csnk1a1
FLOT1	Flot1
INSR	Insr
PTK2B	Ptk2b
INVS	Invs
NEK8	Nek8
CYGB	Cygb
ID3	Id3
UNC45B	Unc45b
SPACA5	Spaca5
LYZ	Lyz2
LYZL1	Lyzl1
LYZL4	Lyzl4
SPACA3	Spaca3
LYZL6	Lyzl6
TBX18	Tbx18
TBX15	Tbx15
CP	Cp
WNT2	Wnt2
APP	App
GDF1	Gdf1
GDF3	Gdf3
PSMB8	Psmb8
LDB2	Ldb2
MAP2K6	Map2k6
EIF4E1B	Eif4e1b
TBX2	Tbx2
PBX4	Pbx4
GLI2	Gli2
MMP21	Mmp21
HHEX	Hhex
TRADD	Tradd
ADH5	Adh5
ZBTB22	Zbtb22
RRM1	Rrm1
HOXD12	Hoxd12
PAX2	Pax2
RUNX3	Runx3
PGR	Pgr
PER3	Per3
PIM2	Pim2
HOXC5	Hoxc5
FBXW4	Fbxw4
ARNT2	Arnt2
HOXB8	Hoxb8
NPY4R	Npy4r
EVX2	Evx2
TBX4	Tbx4
PYCARD	Pycard
ISL2	Isl2
HOXA9	Hoxa9
GATA6	Gata6
ATOH1	Atoh1
INS	Ins1
HOXB7	Hoxb7
LPL	Lpl
HOXC6	Hoxc6
RAG1	Rag1
NEUROD6	Neurod6
CD81	Cd81
MID1IP1	Mid1ip1
SHH	Shh
OR4C15	Olfr1215
OR4D1	Olfr464
MAPK8	Mapk8
HOXC13	Hoxc13
RAF1	Raf1
ZIC1	Zic1
FZD7	Fzd7
MEIS2	Meis2
ALDH1A2	Aldh1a2
MPP4	Mpp4
NTRK1	Ntrk1
TAP2	Tap2
BCO1	Bco1
NODAL	Nodal
FOXG1	Foxg1
ZNF703	Zfp703
NOTCH2	Notch2
ZP1	Zp1
CLDN3	Cldn3
FN1	Fn1
NKX2-3	Nkx2-3
POU5F2	Pou5f2
POU5F1	Pou5f1
GJC1	Gjc1
CHRNA1	Chrna1
DMRT2	Dmrt2
PPM1A	Ppm1a
HOXC4	Hoxc4
SOX11	Sox11
NKX2-4	Nkx2-4
CPEB1	Cpeb1
EN2	En2
COPZ1	Copz1
B2M	B2m
FZD8	Fzd8
GFAP	Gfap
PAX7	Pax7
POU3F4	Pou3f4
POU3F3	Pou3f3
FOXA2	Foxa2
TBX5	Tbx5
FLI1	Fli1
OPRM1	Oprm1
PSMB9	Psmb9
SLC39A7	Slc39a7
TNNC2	Tnnc2
NOTCH3	Notch3
GUCA1B	Guca1b
CXCR4	Cxcr4
VEGFA	Vegfa
ELAVL3	Elavl3
HOXB2	Hoxb2
FABP2	Fabp2
PITX2	Pitx2
NUP93	Nup93
EPHB3	Ephb3
HOXA13	Hoxa13
KLF17	Klf17
KLF2	Klf2
RBP3	Rbp3
FOXN4	Foxn4
NME7	Nme7
MAPK12	Mapk12
OPN1LW	Opn1mw
PSMA6	Psma6
GATA1	Gata1
APOA1	Apoa1
CXCL14	Cxcl14
NEUROG1	Neurog1
MSX2	Msx2
PAX6	Pax6
DDX3Y	Ddx3y
DDX3X	D1Pas1
ADAR	Adar
PKLR	Pklr
GNG3	Gng3
BCL2L1	Bcl2l1
ATP1A1	Atp1a1
CLDN11	Cldn11
GCH1	Gch1
ND4L	mt-Nd4l
CACNA1C	Cacna1c
RAN	1700009N14Rik
UCP2	Ucp2
RHO	Rho
ADGRA2	Adgra2
MYOG	Myog
HESX1	Hesx1
NKX2-6	Nkx2-6
OPN1SW	Opn1sw
OR10A3	Olfr514
OR10AG1	Olfr1122
MEF2D	Mef2d
SIX3	Six3
DES	Des
CTBP2	Ctbp2
FRAT1	Peg12
FRAT2	Frat2
HOXB5	Hoxb5
GDF6	Gdf6
PAX3	Pax3
EPB41L4A	Epb41l4a
BAX	Bax
HOXD4	Hoxd4
CRY1	Cry1
NR5A2	Nr5a2
TWSG1	Twsg1
ACHE	Ache
ND3	mt-Nd3
SOX10	Sox10
MEIS1	Meis1
L1CAM	L1cam
TPST1	Tpst1
CTBP1	Ctbp1
STAT3	Stat3
TBXT	T
ARNTL	Arntl
ROBO1	Robo1
CDH2	Cdh2
FOXA1	Foxa1
PPARD	Ppard
LHX3	Lhx3
SOX9	Sox9
SOX15	Sox15
HOXC9	Hoxc9
ELAVL1	Elavl1
BMP2	Bmp2
FOXB1	Foxb1
FRZB	Frzb
MEF2C	Mef2c
HOXA2	Hoxa2
NME6	Nme6
CASP8	Casp8
EPHA1	Epha1
GLRA1	Glra1
UCP1	Ucp1
PPARA	Ppara
CRYBB1	Crybb1
EFNA3	Efna3
ND2	mt-Nd2
PTPRF	Ptprf
PKNOX1	Pknox1
HOXB1	Hoxb1
DBX1	Dbx1
FZD9	Fzd9
TNC	Tnc
CTNNA1	Ctnna1
PAX5	Pax5
PC	Pcx
HOXD3	Hoxd3
POU6F1	Pou6f1
PSME3	Psme3
EPHB4	Ephb4
SMARCB1	Smarcb1
HOXB3	Hoxb3
TWIST1	Twist1
SOX21	Sox21
ALAS1	Alas1
FZD10	Fzd10
FZD3	Fzd3
FOXD2	Foxd2
BLCAP	Blcap
GATA5	Gata5
OTP	Otp
NR2F1	Nr2f1
SIX5	Six5
PSMB6	Psmb6
EFNA5	Efna5
WNT5B	Wnt5b
TEF	Tef
ITK	Itk
MESP2	Mesp2
FBLN1	Fbln1
ID1	Id1
