GeneName	MGI_id	FeatureType	HumanGeneName
a	MGI:87853	Gene	ASIP
Pzp	MGI:87854	Gene	
Abl1	MGI:87859	Gene	ABL1
Abl2	MGI:87860	Gene	ABL2
Scgb1b27	MGI:87862	Gene	
Scgb2b27	MGI:87863	Gene	
Scgb2b26	MGI:87864	Gene	
Acadl	MGI:87866	Gene	ACADL
Acadm	MGI:87867	Gene	ACADM
Acads	MGI:87868	Gene	ACADS
Acat1	MGI:87870	Gene	ACAT1
Acat2	MGI:87871	Gene	ACAT2
Acd	MGI:87873	Gene	ACD
Ace	MGI:87874	Gene	ACE
Ache	MGI:87876	Gene	ACHE
Apoc4	MGI:87878	Gene	APOC4
Aco1	MGI:87879	Gene	ACO1
Aco2	MGI:87880	Gene	ACO2
Acp1	MGI:87881	Gene	ACP1
Acp2	MGI:87882	Gene	ACP2
Acp5	MGI:87883	Gene	ACP5
Acr	MGI:87884	Gene	ACR
Chrna1	MGI:87885	Gene	CHRNA1
Chrna2	MGI:87886	Gene	CHRNA2
Chrna3	MGI:87887	Gene	CHRNA3
Chrna4	MGI:87888	Gene	CHRNA4
Chrna5	MGI:87889	Gene	CHRNA5
Chrnb1	MGI:87890	Gene	CHRNB1
Chrnb2	MGI:87891	Gene	CHRNB2
Chrnb4	MGI:87892	Gene	CHRNB4
Chrnd	MGI:87893	Gene	CHRND
Chrne	MGI:87894	Gene	CHRNE
Chrng	MGI:87895	Gene	CHRNG
Acta1	MGI:87902	Gene	ACTA1
Actb	MGI:87904	Gene	ACTB
Actc1	MGI:87905	Gene	ACTC1
Actg1	MGI:87906	Gene	ACTG1
Actg-ps1	MGI:87907	Pseudogene	
Acta2	MGI:87909	Gene	ACTA2
Acvr1	MGI:87911	Gene	ACVR1
Acvr2b	MGI:87912	Gene	ACVR2B
Acy1	MGI:87913	Gene	ACY1
Aspa	MGI:87914	Gene	ASPA
Ada	MGI:87916	Gene	ADA
Adcy6	MGI:87917	Gene	ADCY6
Add1	MGI:87918	Gene	ADD1
Add2	MGI:87919	Gene	ADD2
Plin2	MGI:87920	Gene	PLIN2
Adh1	MGI:87921	Gene	ADH1A
Adh7	MGI:87926	Gene	ADH7
Adh5	MGI:87929	Gene	ADH5
Adk	MGI:87930	Gene	ADK
Cfd	MGI:87931	Gene	CFD
Adra2a	MGI:87934	Gene	ADRA2A
Adra2b	MGI:87935	Gene	ADRA2B
Adra2c	MGI:87936	Gene	ADRA2C
Adrb1	MGI:87937	Gene	ADRB1
Adrb2	MGI:87938	Gene	ADRB2
Adrb3	MGI:87939	Gene	ADRB3
Grk2	MGI:87940	Gene	GRK2
Grk3	MGI:87941	Gene	GRK3
Adssl1	MGI:87947	Gene	ADSS1
Adss	MGI:87948	Gene	ADSS2
Afp	MGI:87951	Gene	AFP
Agrn	MGI:87961	Gene	AGRN
Agt	MGI:87963	Gene	AGT
Agtr1a	MGI:87964	Gene	AGTR1
Agtr1b	MGI:87965	Gene	AGTR1
Agtr2	MGI:87966	Gene	AGTR2
Ahcy	MGI:87968	Gene	AHCY
Ahi1	MGI:87971	Gene	AHI1
Ak1	MGI:87977	Gene	AK1
Ak2	MGI:87978	Gene	AK2
Ak4	MGI:87979	Gene	AK4
Akp-ps1	MGI:87981	Pseudogene	
Alpl	MGI:87983	Gene	ALPL
Akp3	MGI:87984	Gene	ALPI
Akt1	MGI:87986	Gene	AKT1
Alas1	MGI:87989	Gene	ALAS1
Alas2	MGI:87990	Gene	ALAS2
Alb	MGI:87991	Gene	ALB
Aldoa	MGI:87994	Gene	ALDOA
Aldob	MGI:87995	Gene	ALDOB
Alox15	MGI:87997	Gene	ALOX15
Alox12	MGI:87998	Gene	ALOX12
Alox5	MGI:87999	Gene	ALOX5
Ambp	MGI:88002	Gene	AMBP
Amd1	MGI:88004	Gene	AMD1
Amelx	MGI:88005	Gene	AMELX
Amh	MGI:88006	Gene	AMH
Ampd1	MGI:88015	Gene	AMPD1
Ampd2	MGI:88016	Gene	AMPD2
Mat1a	MGI:88017	Gene	MAT1A
Amy1	MGI:88019	Gene	AMY1B
Amy2a5	MGI:88020	Gene	AMY1B
Ang	MGI:88022	Gene	ANG
Ank1	MGI:88024	Gene	ANK1
Ank2	MGI:88025	Gene	ANK2
Ank3	MGI:88026	Gene	ANK3
Anxa4	MGI:88030	Gene	ANXA4
Anxa7	MGI:88031	Gene	ANXA7
Prdx3	MGI:88034	Gene	PRDX3
Aox1	MGI:88035	Gene	AOX1
Fabp4	MGI:88038	Gene	FABP4
Apc	MGI:88039	Gene	APC
Apeh	MGI:88041	Gene	APEH
Apex1	MGI:88042	Gene	APEX1
Aplp1	MGI:88046	Gene	APLP1
Aplp2	MGI:88047	Gene	APLP2
Apoa1	MGI:88049	Gene	APOA1
Apoa2	MGI:88050	Gene	APOA2
Apoa4	MGI:88051	Gene	APOA4
Apob	MGI:88052	Gene	APOB
Apoc1	MGI:88053	Gene	APOC1
Apoc2	MGI:88054	Gene	APOC2
Apoc3	MGI:88055	Gene	APOC3
Apod	MGI:88056	Gene	APOD
Apoe	MGI:88057	Gene	APOE
Apoh	MGI:88058	Gene	APOH
App	MGI:88059	Gene	APP
Aprt	MGI:88061	Gene	APRT
Aprt-ps	MGI:88062	Pseudogene	
Ar	MGI:88064	Gene	AR
Araf	MGI:88065	Gene	ARAF
Arc	MGI:88067	Gene	ARC
Areg	MGI:88068	Gene	AREG
Arg1	MGI:88070	Gene	ARG1
Arnt	MGI:88071	Gene	ARNT
Arsb	MGI:88075	Gene	ARSB
Arsa	MGI:88077	Gene	ARSA
Asgr1	MGI:88081	Gene	ASGR1
Asgr2	MGI:88082	Gene	ASGR2
Asl	MGI:88084	Gene	ASL
Ass-ps1	MGI:88088	Pseudogene	
Ass1	MGI:88090	Gene	ASS1
Serpinc1	MGI:88095	Gene	SERPINC1
Atf4	MGI:88096	Gene	ATF4
Atp1a1	MGI:88105	Gene	ATP1A1
Atp1a2	MGI:88106	Gene	ATP1A2
Atp1a3	MGI:88107	Gene	ATP1A3
Atp1b1	MGI:88108	Gene	ATP1B1
Atp1b2	MGI:88109	Gene	ATP1B2
Atp2a2	MGI:88110	Gene	ATP2A2
Atp2b4	MGI:88111	Gene	ATP2B4
Atp4a	MGI:88113	Gene	ATP4A
Atp4b	MGI:88114	Gene	ATP4B
Atp5a1	MGI:88115	Gene	ATP5F1A
Atp6v0c	MGI:88116	Gene	ATP6V0C
Slc7a1	MGI:88117	Gene	SLC7A1
Avp	MGI:88121	Gene	AVP
Avpr2	MGI:88123	Gene	AVPR2
B2m	MGI:88127	Gene	B2M
Zbtb12	MGI:88133	Gene	ZBTB12
Tff1	MGI:88135	Gene	TFF1
Bckdhb	MGI:88137	Gene	BCKDHB
Bcl2	MGI:88138	Gene	BCL2
Bcl2l1	MGI:88139	Gene	BCL2L1
Bcl3	MGI:88140	Gene	BCL3
Bcr	MGI:88141	Gene	BCR
Bdkrb1	MGI:88144	Gene	BDKRB1
Bdnf	MGI:88145	Gene	BDNF
Glb1	MGI:88151	Gene	GLB1
Bglap3	MGI:88155	Gene	BGLAP
Bglap	MGI:88156	Gene	BGLAP
Bglap2	MGI:88157	Gene	BGLAP
Bgn	MGI:88158	Gene	BGN
Blk	MGI:88169	Gene	BLK
Blvra	MGI:88170	Gene	BLVRA
Bmi1	MGI:88174	Gene	BMI1
Manba	MGI:88175	Gene	MANBA
Bmp1	MGI:88176	Gene	BMP1
Bmp2	MGI:88177	Gene	BMP2
Bmp4-ps	MGI:88178	Pseudogene	
Bmp3	MGI:88179	Gene	BMP3
Bmp4	MGI:88180	Gene	BMP4
Bmp5	MGI:88181	Gene	BMP5
Bmp6	MGI:88182	Gene	BMP6
Bmyc	MGI:88184	Gene	
Braf	MGI:88190	Gene	BRAF
Smarca4	MGI:88192	Gene	SMARCA4
Bsg	MGI:88208	Gene	BSG
Btg1	MGI:88215	Gene	BTG1
Btk	MGI:88216	Gene	BTK
Commd3	MGI:88218	Gene	COMMD3
Tspo	MGI:88222	Gene	TSPO
C1qa	MGI:88223	Gene	C1QA
C1qb	MGI:88224	Gene	C1QB
C1qc	MGI:88225	Gene	C1QC
C2	MGI:88226	Gene	C2
C3	MGI:88227	Gene	C3
C4b	MGI:88228	Gene	C4A
C4bp	MGI:88229	Gene	C4BPA
C5ar1	MGI:88232	Gene	C5AR1
C6	MGI:88233	Gene	C6
C7	MGI:88235	Gene	C7
C8b	MGI:88236	Gene	C8B
C8g	MGI:88237	Gene	C8G
S100a8	MGI:88244	Gene	S100A8
Anxa2	MGI:88246	Gene	ANXA2
Calb1	MGI:88248	Gene	CALB1
Cald1	MGI:88250	Gene	CALD1
Calm1	MGI:88251	Gene	CALM1
Calr	MGI:88252	Gene	CALR
Car8	MGI:88253	Gene	CA8
Anxa6	MGI:88255	Gene	ANXA6
Camk2a	MGI:88256	Gene	CAMK2A
Camk2b	MGI:88257	Gene	CAMK2B
Camk4	MGI:88258	Gene	CAMK4
Camk2g	MGI:88259	Gene	CAMK2G
Canx	MGI:88261	Gene	CANX
Cap1	MGI:88262	Gene	CAP1
Capn1	MGI:88263	Gene	CAPN1
Capn2	MGI:88264	Gene	CAPN2
Capns1	MGI:88266	Gene	CAPNS1
Car1	MGI:88268	Gene	CA1
Car2	MGI:88269	Gene	CA2
Car3	MGI:88270	Gene	CA3
Cat	MGI:88271	Gene	CAT
